"Kategori","No","Data yg dikawinkan","Atribut yg dipakai","Formula","Anak","Tujuan","Manfaat bagi Manager / Keputusan yg bisa diambil","Next Action (bisa dipertimbangkan)"
"Gen 1 x Gen 1","1","Movies; Schedules; Ticket","Movies: movie_id untuk join ke schedules, title untuk label output. Schedules: movie_id dan schedule_id untuk join. Ticket: tiket_id untuk dihitung.","Jumlah total tiket terjual per film. SQL: COUNT(t.tiket_id) GROUP BY m.movie_id, m.title.","Movie Performance","Mengetahui jumlah total tiket terjual per film.","Menentukan film mana yang layak ditambah jadwal, dihentikan, atau diprioritaskan karena demand tinggi.","Keep. Jadikan parent utama. Jika demand tinggi: tambah jadwal, perpanjang masa tayang, dan pertimbangkan dynamic pricing. Jika demand rendah: kurangi jadwal, ganti film, atau pindah ke studio lebih kecil."
"Gen 1 x Gen 1","2","Schedule; Ticket","Schedule: schedule_id untuk join ke ticket, show_date dan start_time untuk info jam tayang. Ticket: tiket_id untuk dihitung.","Jumlah total tiket terjual per jadwal. SQL: COUNT(t.tiket_id) GROUP BY s.schedule_id, s.show_date, s.start_time.","Schedule Performance","Mengetahui jumlah penonton di setiap jadwal tayang.","Menentukan jam tayang paling ramai, mengurangi jadwal sepi, dan menambah slot di waktu dengan demand tinggi.","Keep. Pakai nama kolom schedule_id dan start_time atau show_date sesuai schema."
"Gen 1 x Gen 1","3","Schedule; Studio; Ticket","Schedule: schedule_id dan studio_id untuk hubungkan jadwal ke studio. Studio: total_capacity sebagai kapasitas kursi. Ticket: tiket_id untuk jumlah kursi terjual.","Occupancy = COUNT(tiket) / total_capacity x 100. SQL: COUNT(t.tiket_id)::float * 100 / st.total_capacity.","Occupancy Performance","Mengukur seberapa penuh studio di setiap jadwal.","Evaluasi efisiensi penggunaan studio, menentukan apakah kapasitas terlalu besar atau terlalu kecil, dan optimasi penempatan film.","Keep. Ini combine dari Schedule Performance dan kapasitas studio. Koreksi atribut menjadi studio.total_capacity."
"Gen 1 x Gen 1","4","Studio; Schedules; Ticket","Studio: studio_id sebagai identitas studio. Schedules: schedule_id dan studio_id untuk join. Ticket: final_price sebagai nilai revenue.","Revenue studio = SUM(final_price). SQL: COALESCE(SUM(t.final_price),0) GROUP BY st.studio_id.","Studio Revenue","Mengetahui total pendapatan tiap studio.","Fokus ke studio paling menghasilkan, evaluasi strategi harga tiket, dan optimasi penggunaan studio untuk profit maksimal.","Keep. Pakai SUM(final_price), bukan price x tiket terjual, supaya diskon atau promo tetap terhitung."
"Gen 1 x Gen 1","5","Cinema; Studio; Schedules; Ticket","Cinema: cinema_id dan cinema_name sebagai identitas cabang. Studio: cinema_id untuk join ke cinema. Schedules: studio_id untuk join. Ticket: final_price sebagai revenue.","Revenue cinema = SUM(final_price) atau penjumlahan revenue seluruh studio di cinema tersebut.","Revenue per Cinema","Mengetahui total pendapatan tiap cabang bioskop.","Identifikasi cabang paling profitable, evaluasi cabang underperform, dan bandingkan performa antar lokasi.","Keep. Join harus tetap melewati schedules agar relasinya benar."
"Gen 1 x Gen 1","6","Movie; Schedules; Ticket","Movie: movie_id dan title sebagai identitas film. Schedules: movie_id untuk join. Ticket: final_price sebagai revenue.","Revenue per movie = SUM(final_price) GROUP BY movie.","Revenue per Movie","Mengetahui film mana yang paling menghasilkan cuan.","Identifikasi film paling profitable dan membandingkan revenue vs popularity.","Keep. Pisahkan dari Movie Revenue Contribution agar tidak rancu."
"Gen 1 x Gen 1","7","Movie; Schedules; Ticket","Movie: genre sebagai kategori film. Schedules: movie_id untuk join. Ticket: tiket_id untuk jumlah penonton.","Persentase genre = jumlah tiket per genre / total tiket x 100, atau ranking genre berdasarkan COUNT(tiket). SQL: unnest genre lalu GROUP BY genre.","Genre Popularity","Mengetahui genre yang paling diminati.","Menentukan genre dominan di pasar dan memberi insight preferensi penonton.","Keep. Ini breakdown dari movie analytics, bukan parent insight baru."
"Gen 1 x Gen 1","8","Schedules; Ticket","Schedules: show_date dan start_time untuk slot tayang. Ticket: tiket_id untuk demand dan final_price untuk revenue.","Tickets per slot = COUNT(tiket). Revenue per slot = SUM(final_price). SQL: GROUP BY show_date, start_time.","Best Performing Time Slot","Menentukan jam tayang dengan demand dan revenue tertinggi.","Membantu optimasi prime time, distribusi jam tayang, dan strategi harga per slot.","Keep. Weekend vs Weekday bisa dijadikan breakdown dari insight ini."
"Gen 1 x Gen 1","9","Ticket","Ticket: payment_type untuk metode pembayaran, tiket_id untuk jumlah transaksi, final_price untuk nilai transaksi.","Usage per method = COUNT(ticket). Revenue per method = SUM(final_price). Share = COUNT(ticket) / total ticket x 100.","Payment Method Preference","Mengetahui metode pembayaran yang paling sering dipakai.","Membantu strategi promo, negosiasi vendor payment, dan pemilihan channel payment utama.","Keep. Ini valid untuk preference saja."
"Gen 2 x Gen 2","10","Revenue per Movie; Revenue per Cinema","Revenue per Movie sebagai pembilang. Revenue per Cinema sebagai penyebut pada cinema dan periode yang sama.","Movie Revenue Contribution = revenue_movie / revenue_cinema x 100.","Movie Revenue Contribution","Mengetahui persentase kontribusi tiap film terhadap total pendapatan bioskop di periode tertentu.","Mengetahui film yang jadi sumber cuan utama dan membantu alokasi staf, promo, atau stok di area dengan trafik tinggi.","Keep. Wajib dibatasi per cinema dan periode yang sama agar interpretasinya benar."
