"Insight","Data yg dikawinkan","Atribut yg dipakai","Formula Matematika dan formula SQL","Anak/hasil","Tujuan","Manfaat","Next Action"
"Movie Performance / Total Tickets Sold per Movie","movies + schedules + tiket","m.movie_id; m.title; s.schedule_id; s.movie_id; t.tiket_id","Math: tickets_sold = COUNT(tiket). SQL: SELECT m.movie_id, m.title, COUNT(t.tiket_id) AS tickets_sold FROM movies m JOIN schedules s ON s.movie_id = m.movie_id LEFT JOIN tiket t ON t.schedule_id = s.schedule_id GROUP BY m.movie_id, m.title","Parent","Melihat demand aktual per film","Menjadi dasar ranking film dan alokasi slot","Keep. Jadikan parent utama. Insight Most Popular Movie digabung ke sini."
"Schedule Performance / Total Tickets Sold per Schedule","schedules + tiket","s.schedule_id; s.show_date; s.start_time; s.studio_id; t.tiket_id","Math: tickets_sold = COUNT(tiket). SQL: SELECT s.schedule_id, COUNT(t.tiket_id) AS tickets_sold FROM schedules s LEFT JOIN tiket t ON t.schedule_id = s.schedule_id GROUP BY s.schedule_id","Parent","Menilai performa tiap jadwal tayang","Membantu evaluasi slot tayang yang efektif atau sepi","Keep. Ini parent untuk insight level screening."
"Occupancy Performance","schedules + studio + tiket","s.schedule_id; s.studio_id; st.total_capacity; t.tiket_id","Math: occupancy_pct = COUNT(tiket) / total_capacity * 100. SQL: SELECT s.schedule_id, st.total_capacity, COUNT(t.tiket_id) AS sold, CASE WHEN st.total_capacity > 0 THEN COUNT(t.tiket_id)::float * 100 / st.total_capacity ELSE 0 END AS occupancy_pct FROM schedules s JOIN studio st ON st.studio_id = s.studio_id LEFT JOIN tiket t ON t.schedule_id = s.schedule_id GROUP BY s.schedule_id, st.total_capacity","Combine dari Schedule Performance + kapasitas studio","Mengukur efisiensi pemakaian kursi","Membantu pindah film ke studio yang lebih pas dan memangkas slot sepi","Keep. Koreksi atribut menjadi studio.total_capacity."
"Revenue per Studio","studio + schedules + tiket","st.studio_id; s.schedule_id; t.final_price","Math: revenue = SUM(final_price). SQL: SELECT st.studio_id, COALESCE(SUM(t.final_price),0) AS revenue FROM studio st LEFT JOIN schedules s ON s.studio_id = st.studio_id LEFT JOIN tiket t ON t.schedule_id = s.schedule_id GROUP BY st.studio_id","Parent","Mengetahui studio yang paling produktif secara pendapatan","Membantu optimasi pemakaian layar dan penjadwalan","Keep. Jangan pakai schedule.price * tiket_terjual bila ada diskon atau promo."
"Revenue per Cinema","cinema + studio + schedules + tiket","c.cinema_id; c.cinema_name; st.cinema_id; s.studio_id; t.final_price","Math: revenue_cinema = SUM(final_price). SQL: SELECT c.cinema_id, c.cinema_name, COALESCE(SUM(t.final_price),0) AS revenue FROM cinema c LEFT JOIN studio st ON st.cinema_id = c.cinema_id LEFT JOIN schedules s ON s.studio_id = st.studio_id LEFT JOIN tiket t ON t.schedule_id = s.schedule_id GROUP BY c.cinema_id, c.cinema_name","Anak agregasi dari Revenue per Studio; parent untuk branch score","Menilai omzet tiap cabang bioskop","Membantu perbandingan performa cabang","Keep. Tambahkan schedules dalam join karena PDF sempat melewatkannya."
"Revenue per Movie","movies + schedules + tiket","m.movie_id; m.title; s.movie_id; t.final_price","Math: revenue_movie = SUM(final_price). SQL: SELECT m.movie_id, m.title, COALESCE(SUM(t.final_price),0) AS revenue FROM movies m JOIN schedules s ON s.movie_id = m.movie_id LEFT JOIN tiket t ON t.schedule_id = s.schedule_id GROUP BY m.movie_id, m.title","Parent","Mengetahui film paling menguntungkan","Membantu prioritas promo, penambahan slot, dan evaluasi lineup","Keep."
"Genre Popularity","movies + schedules + tiket","m.genre; s.movie_id; t.tiket_id","Math: genre_demand = COUNT(tiket). SQL: SELECT TRIM(genre_item) AS genre, COUNT(t.tiket_id) AS tickets_sold FROM movies m JOIN schedules s ON s.movie_id = m.movie_id LEFT JOIN tiket t ON t.schedule_id = s.schedule_id CROSS JOIN LATERAL unnest(string_to_array(COALESCE(m.genre,''), ',')) AS genre_item WHERE TRIM(genre_item) <> '' GROUP BY TRIM(genre_item)","Anak dari Movie Performance","Mengetahui genre paling diminati","Membantu kurasi konten dan komposisi film","Keep. Posisikan sebagai breakdown movie analytics, bukan parent baru."
"Best Performing Time Slot","schedules + tiket","s.show_date; s.start_time; t.tiket_id; t.final_price","Math: tickets = COUNT(tiket), revenue = SUM(final_price) per slot. SQL: SELECT s.show_date, s.start_time, COUNT(t.tiket_id) AS tickets_sold, COALESCE(SUM(t.final_price),0) AS revenue FROM schedules s LEFT JOIN tiket t ON t.schedule_id = s.schedule_id GROUP BY s.show_date, s.start_time","Anak dari Schedule Performance","Menentukan jam tayang dengan demand dan revenue tertinggi","Membantu optimasi prime time dan distribusi jam tayang","Keep. Weekend vs Weekday cukup jadi breakdown dari insight ini."
"Payment Method Preference","tiket","t.payment_type; t.tiket_id; t.final_price","Math: usage = COUNT(*), share = COUNT(*) / total_tickets * 100, revenue = SUM(final_price). SQL: SELECT t.payment_type, COUNT(*) AS total_tickets, COALESCE(SUM(t.final_price),0) AS revenue FROM tiket t GROUP BY t.payment_type","Parent","Melihat metode pembayaran yang paling sering dipakai","Membantu strategi promo dan channel payment","Keep. Valid untuk preference saja, bukan success/failure."
"Movie Revenue Contribution","Revenue per Movie + Revenue per Cinema","movie_id; cinema_id; revenue_movie; revenue_cinema","Math: contribution_pct = revenue_movie / revenue_cinema * 100. SQL: SELECT c.cinema_id, m.movie_id, COALESCE(SUM(t.final_price),0) * 100.0 / NULLIF(SUM(SUM(t.final_price)) OVER (PARTITION BY c.cinema_id),0) AS contribution_pct FROM cinema c JOIN studio st ON st.cinema_id = c.cinema_id JOIN schedules s ON s.studio_id = st.studio_id JOIN movies m ON m.movie_id = s.movie_id LEFT JOIN tiket t ON t.schedule_id = s.schedule_id GROUP BY c.cinema_id, m.movie_id","Combine","Mengetahui kontribusi revenue tiap film pada cabang tertentu","Membantu identifikasi cash cow","Keep. Harus selalu dibatasi per cinema dan periode agar tidak misleading."
